Bin Id	Bin size (Mbp)	TRE3326A10-45241226.sorted: mapped reads	TRE3326A10-45241226.sorted: % mapped reads	TRE3326A10-45241226.sorted: % binned populations	TRE3326A10-45241226.sorted: % community	TRE3326A11-45241228.sorted: mapped reads	TRE3326A11-45241228.sorted: % mapped reads	TRE3326A11-45241228.sorted: % binned populations	TRE3326A11-45241228.sorted: % community	TRE3326A12-45238228.sorted: mapped reads	TRE3326A12-45238228.sorted: % mapped reads	TRE3326A12-45238228.sorted: % binned populations	TRE3326A12-45238228.sorted: % community	TRE3326A13-45249221.sorted: mapped reads	TRE3326A13-45249221.sorted: % mapped reads	TRE3326A13-45249221.sorted: % binned populations	TRE3326A13-45249221.sorted: % community	TRE3326A14-45252219.sorted: mapped reads	TRE3326A14-45252219.sorted: % mapped reads	TRE3326A14-45252219.sorted: % binned populations	TRE3326A14-45252219.sorted: % community	TRE3326A15-45241232.sorted: mapped reads	TRE3326A15-45241232.sorted: % mapped reads	TRE3326A15-45241232.sorted: % binned populations	TRE3326A15-45241232.sorted: % community	TRE3326A16-45245241.sorted: mapped reads	TRE3326A16-45245241.sorted: % mapped reads	TRE3326A16-45245241.sorted: % binned populations	TRE3326A16-45245241.sorted: % community	TRE3326A17-45241234.sorted: mapped reads	TRE3326A17-45241234.sorted: % mapped reads	TRE3326A17-45241234.sorted: % binned populations	TRE3326A17-45241234.sorted: % community	TRE3326A18-45238232.sorted: mapped reads	TRE3326A18-45238232.sorted: % mapped reads	TRE3326A18-45238232.sorted: % binned populations	TRE3326A18-45238232.sorted: % community
bin_24_unicycler.fasta	1.902186	404758	3.251779224341258	4.234059431792006	4.234059431792006	483568	3.531614938522025	4.732173555245976	4.732173555245976	592179	3.5587526303972723	4.669850418531371	4.669850418531371	268542	1.8095223399279714	2.387999292695459	2.387999292695459	305686	2.2626333743566986	2.971873255542597	2.971873255542597	20428	0.12824465474106891	0.1667238389274264	0.1667238389274264	26915	0.21421395337879834	0.24251366158647264	0.24251366158647264	65756	0.4984503210144081	0.6460887821008079	0.6460887821008079	25318	0.17580057029988308	0.20404422576049686	0.20404422576049686
bin_25_metaspades.fasta	3.082961	99587	0.8000705053747494	0.6427603939376001	0.6427603939376001	87685	0.6403849218399559	0.5294358759305439	0.5294358759305439	191130	1.1486128185022277	0.92995894772311	0.92995894772311	92153	0.6209565438232468	0.5056108708837864	0.5056108708837864	50196	0.3715418594872151	0.3010986409947822	0.3010986409947822	4303	0.027013743359644578	0.021668465089190486	0.021668465089190486	15036	0.11967010971590607	0.08359091745041711	0.08359091745041711	5495	0.041653758044500465	0.033312671378147	0.033312671378147	2831	0.019657611759181966	0.014077311903224804	0.014077311903224804
bin_25_operams.fasta	1.817962	38869	0.31226907601806597	0.4254348431421532	0.4254348431421532	36375	0.2656554887600889	0.372455414627587	0.372455414627587	47914	0.2879434656292353	0.395348937409073	0.395348937409073	35725	0.24072653660852597	0.3324010538932895	0.3324010538932895	32620	0.24144743518353964	0.3318232946904003	0.3318232946904003	36949	0.23196160896944168	0.31553149946793546	0.31553149946793546	72440	0.5765431463035537	0.6829492716181826	0.6829492716181826	97709	0.7406637024149401	1.0045222531962086	1.0045222531962086	82650	0.5738967191439031	0.6969569471357023	0.6969569471357023
bin_25_unicycler.fasta	1.896076	50837	0.40841861168361465	0.5335052067977437	0.5335052067977437	108433	0.7919126216556074	1.064539605784768	1.064539605784768	165673	0.9956267016152334	1.310686855031972	1.310686855031972	34538	0.23272814895410132	0.30811752439652573	0.30811752439652573	84999	0.6291474722000516	0.8290214943680543	0.8290214943680543	54064	0.3394076274682372	0.44266712174447437	0.44266712174447437	128070	1.0192970837533977	1.157674518337315	1.157674518337315	123349	0.9350226389501525	1.2158771213966733	1.2158771213966733	108992	0.7568076371800638	0.8812249311849766	0.8812249311849766
bin_26_metaspades.fasta	2.765977	117079	0.9405992217736279	0.8422575821900917	0.8422575821900917	139851	1.0213659315075516	0.9411808954078282	0.9411808954078282	31467	0.18910374907031652	0.17065134836125392	0.17065134836125392	320217	2.157725104917351	1.958261906072129	1.958261906072129	208059	1.5400156933431048	1.3910593441353898	1.3910593441353898	112713	0.7075993621416732	0.6326307216423342	0.6326307216423342	57015	0.4537770221769343	0.35329327434482727	0.35329327434482727	4349	0.032966732253964064	0.029386687717886013	0.029386687717886013	5717	0.039697126961230414	0.03168600762348377	0.03168600762348377
bin_26_operams.fasta	1.985946	296	0.002378029959642582	0.0029657788590944003	0.0029657788590944003	933	0.006813926350877332	0.008745211148909094	0.008745211148909094	470	0.0028245070093446713	0.0035500410178767147	0.0035500410178767147	966	0.006509218596608428	0.008227817436553703	0.008227817436553703	1165	0.008623122685126416	0.010848412876964097	0.010848412876964097	1803	0.011319028416788097	0.014094611992328325	0.014094611992328325	315114	2.507962686420459	2.719537607378789	2.719537607378789	20601	0.1561617960827578	0.19387895107971206	0.19387895107971206	94044	0.6530132251079155	0.7259580945509939	0.7259580945509939
bin_2_unicycler.fasta	3.417885	985823	7.919988611164626	5.739261189880438	5.739261189880438	576449	4.209947514508989	3.139493118169259	3.139493118169259	359036	2.157658933206539	1.5757361521325257	1.5757361521325257	1121299	7.555673191675397	5.549309463941568	5.549309463941568	490250	3.628743258698048	2.6525762191887234	2.6525762191887234	427907	2.6863513548211557	1.9436442520961716	1.9436442520961716	827427	6.585413665330074	4.149225591994433	4.149225591994433	1319676	10.003542275001672	7.2163845354986575	7.2163845354986575	757706	5.261282365101636	3.3985305231425635	3.3985305231425635
bin_31_metaspades.fasta	3.159952	11195	0.08993934256148212	0.07049496538735064	0.07049496538735064	24627	0.1798569820397171	0.1450731750671354	0.1450731750671354	277076	1.665112987491881	1.3152895574178227	1.3152895574178227	6523	0.04395407133092834	0.03491739602179413	0.03491739602179413	25022	0.1852083912680113	0.14643646946236802	0.14643646946236802	39526	0.24813972113253815	0.19419015753346996	0.19419015753346996	63419	0.5047458558175743	0.34398040991700807	0.34398040991700807	102645	0.7780800717884896	0.6071096109249666	0.6071096109249666	103510	0.7187422794747175	0.5021687898822265	0.5021687898822265
bin_32_metaspades.fasta	2.591011	34402	0.2763817117284598	0.2641976340948577	0.2641976340948577	13340	0.09742527065455905	0.09583908621023442	0.09583908621023442	21420	0.128725404553538	0.12400898652249008	0.12400898652249008	32074	0.21612492470767983	0.20939139190596345	0.20939139190596345	14361	0.10629756642154546	0.10249982903354563	0.10249982903354563	30667	0.19252392926103193	0.1837497978032241	0.1837497978032241	16298	0.12971424901235948	0.10781020264717714	0.10781020264717714	13379	0.10141685693855719	0.09650819469707989	0.09650819469707989	15737	0.10927299055254207	0.09311091247309058	0.09311091247309058
bin_34_metaspades.fasta	4.732446	95438	0.7667379165147593	0.4012824366986927	0.4012824366986927	97424	0.7115112120127258	0.3832096006325073	0.3832096006325073	67198	0.4038323872637089	0.21299706974644683	0.21299706974644683	111288	0.749894326272628	0.39777512989388	0.39777512989388	73120	0.5412212280999515	0.28573157242341374	0.28573157242341374	12156	0.07631398193814537	0.0398776775854349	0.0398776775854349	44878	0.35717978078148654	0.1625334046501789	0.1625334046501789	20919	0.1585723320351056	0.08261616807300604	0.08261616807300604	33750	0.23434983994079522	0.10932915832760025	0.10932915832760025
