,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_orn_e_m,-0.03405893772450174,-0.03438000000232212,-0.03438000003037726,-0.03437999999954412,-0.034379999999868883,-0.0343800000090729,-0.03423789711466263,-0.0343800000208358,-0.0343800000412384
EX_asp__L_e_m,-0.05985062274362564,-0.06876000000210929,-0.06876000002944485,-0.0687599999989032,-0.06875999999963692,-0.06876000000841187,-0.06800701512812732,-0.06876000002119545,-0.06876000003714222
EX_phe__L_e_m,0.03567691379298127,-0.027352125135504685,-0.029275398370261437,-0.0024065746413792694,-0.012460451517383326,-0.01852653231371198,-0.04968780159482523,-0.009069669870126052,-0.04233802599387279
EX_k_e_m,-0.10264952235472036,-0.10562047803519442,-0.10516440055108621,-0.10716085916087213,-0.10755403844005998,-0.10089665558723405,-0.10604986375725543,-0.10450907937433801,-0.10388977156613644
EX_pro__L_e_m,-0.05160536442489655,-0.06876000000224786,-0.06876000003021149,-0.06875999999935074,-0.06875999999985079,-0.06876000000843864,-0.06797465775224196,-0.06876000002076019,-0.06876000003860391
EX_cellb_e_m,-0.03264543924002161,-0.03437999998482833,-0.034379999922717806,-0.03437999998011542,-0.03437999999290414,-0.0343799999995074,-0.03279121634191507,-3.0849944083332705e-09,-0.03438000003694921
EX_meoh_e_m,-0.0277972985725549,-0.034380000002091494,-0.034380000025308506,-0.034379999997860074,-0.03437999999936736,-0.034380000008231736,-0.03043073707990652,-0.034380000018744715,-0.03438000003278773
EX_btoh_e_m,-0.019769112165441582,-4.104276219235898e-12,-0.03315215531758374,-0.02697060050706279,-4.660343746384576e-12,-4.439039431043419e-12,-0.012758062285360392,-4.770414312676398e-11,-3.683586029780411e-11
EX_ca2_e_m,-0.002737243466014774,-0.002816461446698507,-0.0028043874747849763,-0.0028575382693363277,-0.002868028229106966,-0.0026905007588011996,-0.002827916662702096,-0.0027868424819146222,-0.0027703153573935655
EX_15dap_e_m,0.18578442505897447,6.359041937675993e-13,-1.9063792277061304e-12,1.0832023208559621e-11,3.0048905280142018e-12,1.8018352763315327e-11,0.06245930283580809,1.1490979597732256e-10,6.282447700845344e-11
