,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_sbt__D_e_m,-0.032191726343459445,-2.654686969243207e-10,-0.03283185612167609,-0.03218467810413948,-1.034796819721189e-11,-3.8735542320819856e-10,-0.032054433129273266,-2.306088818517722e-11,-0.03438000003172583
EX_skm_e_m,0.029128092883559314,-0.021459691671886542,-0.017121176438430433,0.014745008593763124,-0.03437999999777221,-0.004245324235163492,0.013764361715259774,-8.157950352906908e-12,-0.034379999965243185
EX_s_e_m,1.5527707464361122,0.00036380124350097613,1.336939119915158,1.7442887801923943,0.07797010653403229,1.394544261717722e-10,0.6378957428206251,6.93229462865181e-11,3.6120251166868196e-10
EX_tartr__L_e_m,-0.0325283801749152,-0.034380000009021076,-0.03274776658658542,-0.03273227967786148,-0.034379999999262424,-0.034380000001438274,-0.034374156239923764,-0.03438000000007547,-0.0343800000361247
EX_thm_e_m,-7.14730503850552e-05,-6.952874554874077e-05,-8.711683199607482e-05,-6.715896139156645e-05,-9.689394432326991e-05,-3.977902365706311e-05,-7.706406698761139e-05,-3.600154792802444e-05,-7.83682543641286e-05
EX_thym_e_m,0.01096084534475637,0.0032301243329354436,0.021418369134117765,0.013616046262485564,-0.00010893607513292319,0.002370794455350274,-0.0038033781886941675,0.006099884580430053,0.009807307623598544
EX_tre_e_m,-0.03313615669335817,-0.03438000000002346,-0.03337166260096301,-0.03312051954415619,-0.034379999996212864,-0.03437999999413658,-0.034358109678120564,-0.03437999999531084,-0.034380000033492744
EX_tsul_e_m,-0.034379963993663325,-0.034380000009228515,-0.03437999998260829,-0.03347759019728605,-0.034379999999779365,-0.0343800000025618,-0.034354670210798514,-0.03438000000034474,-0.03438000003970366
EX_tton_e_m,-0.033369576349534705,-0.00902130352953305,-0.03357475500806292,-0.03341471844978974,-0.009085320490909684,-0.03437999998742925,-0.03378070215250494,-0.0019251069406906382,-0.03438000003516491
EX_udcpp_e_m,0.07029650023641022,0.01570612248317335,0.07339027500826631,0.0782155403291182,1.0186639933830661e-11,2.3969775492414764e-09,0.029888993754065472,4.907460385702743e-11,7.142754173512192e-10
EX_ura_e_m,-0.029407903630487606,-0.03438000000840784,-0.03083433364843043,-0.028984605267853084,-0.031893363518595244,0.05996919328016751,-0.03436795145438087,0.052573479213865966,0.09230011255949087
EX_xan_e_m,0.08367554414790807,0.03437999999485215,0.09372276637898849,0.13094492878514313,0.019965282477480993,0.17246453510872498,0.13339479368404208,0.004844593050633135,0.18927769480470824
EX_xtsn_e_m,-0.027104774729550717,-0.034379999991764366,-0.028665352790499678,-0.02810757850021832,-1.9979441828472357e-11,-0.03437999999572109,-0.03126582908300907,-0.0033113514865636485,-0.03437999988115534
EX_xyl__D_e_m,-0.03255959653472966,-0.03437999997928507,-0.03237172273675749,-0.03241379718652461,-2.8513112092901715e-12,-7.955450286377475e-11,-0.03113609463167051,-5.478529258940653e-11,-0.03437999989931321
EX_2hxmp_e_m,0.03070333712177739,0.03438000013879585,0.03275891485874818,0.030835203831024532,0.03437999941899074,0.034380001008570256,0.032808883068292494,0.0026927656464120664,0.03438000000117973
EX_3oxoadp_e_m,-0.02882843419089856,-0.03438000000767963,-0.030849397879949475,-0.029334367307177613,-1.1216480592307794e-11,-0.03437999999463028,-0.03239310252914976,-4.6686509325382755e-12,-1.2124850925911371e-10
EX_LalaDgluMdap_e_m,-0.005814861035256915,0.0007955293877453636,0.023310968783215574,0.005772200025209622,-0.0009063041863228655,0.028949111196737393,-0.03434242624933394,0.025867407135973592,-0.006515982014672812
EX_5mtr_e_m,0.04583827638260816,-0.010119016297925283,0.0343346220141451,0.050640599938791275,-1.061649928458897e-12,-0.004741378072502596,0.02677535706232727,-0.0003962712680003891,0.033570885238205964
EX_6pgc_e_m,-0.02888847285508278,-0.034380000007157525,-0.029255143262580455,-0.028201423381918066,-0.014033756613670626,-0.03437999999936176,-0.03314563973971598,-0.0029417686849294053,-0.03438000003605047
EX_4abut_e_m,-0.015804406384311326,4.5843300409113746e-12,-0.01537326070242677,-0.02379139123255124,-4.473680704255076e-12,-1.977942697310817e-12,-0.03434334559810198,1.3406563541827518e-11,0.045848479218107016
EX_acgam_e_m,-0.03327232351209269,-0.03437999999352788,-0.03333080817452759,-0.033308171947912475,-0.0019985357204269946,-0.03437999997820523,-0.034362558698569766,-0.004869158856836907,-0.03438000004015348
EX_acmana_e_m,-0.03178777745026291,-0.021399303222821905,-0.032466035232839266,-0.03211769284763629,-8.164664089636592e-12,-0.03437999997128427,-0.03437666470419861,-5.491787408469218e-11,-0.034380000040140676
EX_ade_e_m,-0.030264124459893155,-0.03438000000677519,-0.029821184400478762,-0.03048917966266701,-0.03437999999943651,-0.03438000000093314,-0.03436412353944904,-0.034380000000129037,-0.034380000040487795
EX_anhgm_e_m,-0.028499315049072216,-0.03438000000516263,-0.026334166411582483,-0.029181432134972818,-0.007131906822988785,-0.0004626709818981658,-0.03437014774084943,-0.0010175295649895836,-0.03438000004047371
EX_arbt_e_m,-0.030695849550404008,-0.03438000000154996,-0.03281659576805185,-0.03085307647047828,-0.03437999999688521,-0.0343799999870971,-0.032815277706996604,-0.0026927656224457015,-0.034380000024264036
EX_ala_B_e_m,-0.014584069094713577,-3.4065858811675673e-13,-0.015475766137299795,-0.013607570841002661,-4.43621725629242e-13,-1.1782295701523939e-11,-0.010929334017050037,-9.237967016239295e-13,-2.0728793447967115e-11
EX_but_e_m,-0.03437999924206368,-0.03438000000880731,-0.034380000000933574,-0.03433792721609126,-0.03437999999891539,-0.03437999999314402,-0.028060731067948076,-0.034379999998850316,-0.004444839855659374
EX_bz_e_m,0.18505611713983505,-4.284596518736072e-05,-0.021737159622612544,0.2066452107869299,-3.11194702365707e-05,0.015935129892002332,0.12575683075133692,0.0008932929958058237,-2.8610852588395837e-05
EX_chols_e_m,-0.031723044983292384,-6.838520938336774e-11,-0.03207167900392141,-0.03184448331154109,-4.523291721442096e-12,-1.3945613157412923e-10,-0.03361850155813108,-4.779791431906719e-11,-0.03438000002878033
EX_coa_e_m,0.037115466164678326,-3.8181530596563206e-05,0.041006985643979296,0.03560208756117321,-3.8526641966847e-05,-3.1499425900304607e-10,3.7667602697289866e-05,-5.735783570296783e-11,-3.864843471257489e-09
EX_cu_e_m,-4.394081283630304e-09,1.2754915851120313e-12,-1.8355131101694436e-12,-4.1565927236645684e-11,5.213076021715371e-13,2.185176762695914e-12,2.7443482035575647e-06,1.6982947370145285e-12,9.854636088930328e-12
EX_cyst__L_e_m,-0.02913178478915713,-0.0016273089187896035,-0.027558489842231602,-0.029284739946312116,-0.001255172906126294,-0.001129940906659672,-0.03437568469402116,-0.000254868346782452,-0.034380000040113615
EX_dca_e_m,-0.02773772481881031,-1.174766258576846e-13,-0.024624752692280705,-0.03048008067898473,-2.705029780187502e-12,-4.8843820140612915e-12,-0.010234563324424462,-4.253358819674412e-13,-1.1205978931068291e-11
EX_ethso3_e_m,-1.0883102337377098e-09,6.576173666459858e-14,-5.108239811314007e-13,-6.936652558998293e-12,1.555073216536793e-14,-1.409690343774156e-14,-9.1954446846249e-07,-7.037986514703801e-14,2.947550159881522e-13
EX_etoh_e_m,-0.01247133514521592,-1.2557208545321215e-12,-0.012250714320572053,-0.013608131824326838,-1.0103268705582197e-12,-7.572218972086284e-12,-0.002930290282163212,-0.03437999999027922,-7.629560016007504e-12
EX_h2_e_m,0.0,0.0,0.0,-3.3653740537278565,-3.442999999961231,-3.3640000000050216,-3.391859518033911,-3.3340000000019403,-3.396000000017117
EX_fuc__L_e_m,-0.02878153853498672,-2.1641166421569242e-12,-0.02930909820272685,-0.02860883456834945,-2.3543082306642534e-13,-5.147396100075732e-11,-0.030522791423999742,-4.118506373740297e-12,-2.2097954723417362e-10
EX_gam_e_m,-0.0327380196056176,-0.03438000000623202,-0.03303612689701972,-0.032975207056830914,-0.03437999999863981,-0.03437999999671133,-0.03437099707692801,-0.03437999999673944,-0.03438000004030777
EX_glucan6_e_m,-0.032046170226259496,-7.486859535914313e-11,-0.03206063410772173,-0.031778953030921625,-6.304234317630772e-12,-0.03437999996620448,-0.033756803511206815,-1.2693349107196841e-11,-0.0343800000294208
EX_glucan4_e_m,-0.031401063467312154,-7.288935903957963e-11,-0.03168149956938985,-0.031331080943218834,-3.3675585897881353e-12,-5.4230405747793166e-11,-0.03337600907994384,-9.951013462750566e-12,-0.03438000001474129
EX_glyc_e_m,0.1043974146526109,0.051229285729177586,0.02924172706968281,0.09981271150385695,4.157332140536507e-11,0.008205739112780044,3.000450954045546,0.034379423661865194,-0.034380000006689136
